,DUSSELDORF_cloud_cover,DUSSELDORF_wind_speed,DUSSELDORF_humidity,DUSSELDORF_pressure,DUSSELDORF_global_radiation,DUSSELDORF_precipitation,DUSSELDORF_snow_depth,DUSSELDORF_sunshine,DUSSELDORF_temp_mean,DUSSELDORF_temp_min,DUSSELDORF_temp_max
21,6,4.0,0.9,1.0161,0.34,0.0,0,1.9,7.4,0.9,9.8
22,8,5.5,0.84,1.0161,0.22,0.0,0,0.4,8.0,6.2,10.0
23,7,5.9,0.75,1.0161,0.21,0.11,0,0.3,10.6,7.6,12.2
24,8,2.9,0.84,1.0161,0.16,0.27,0,0.0,8.2,5.6,11.0
25,8,2.4,0.92,1.0161,0.16,0.0,0,0.0,4.8,4.2,8.4
26,8,2.1,0.86,1.0161,0.16,0.25,0,0.0,7.6,3.5,10.0
27,8,5.4,0.82,1.0161,0.17,0.02,0,0.0,8.7,7.5,11.0
28,8,7.8,0.84,1.0161,0.17,1.2,0,0.0,4.4,3.5,7.6
29,8,4.4,0.95,1.0161,0.17,0.88,0,0.0,3.9,1.6,6.6
30,8,2.6,0.93,1.0161,0.17,0.01,0,0.0,2.6,1.0,4.4
31,2,4.4,0.84,1.0161,0.48,0.0,0,3.0,1.5,0.6,3.8
32,8,3.5,0.94,1.0161,0.18,0.02,0,0.0,3.4,0.6,4.8
33,8,5.0,0.79,1.0161,0.18,0.0,0,0.0,5.6,2.8,8.0
34,6,3.8,0.89,1.0161,0.36,0.0,0,1.3,6.4,3.8,10.3
35,8,1.8,0.93,1.0161,0.19,0.0,0,0.0,4.4,3.4,6.2
36,8,2.7,0.88,1.0161,0.19,0.0,0,0.0,1.7,-0.8,5.1
37,0,3.8,0.71,1.0161,0.79,0.0,0,6.8,-1.8,-4.9,1.4
38,0,2.7,0.59,1.0161,0.85,0.0,0,7.6,-0.8,-6.4,3.0
39,1,3.3,0.73,1.0161,0.88,0.0,0,7.8,0.9,-3.6,5.2
40,8,2.0,0.86,1.0161,0.21,0.15,0,0.0,0.0,-4.5,1.4
41,8,2.2,0.75,1.0161,0.33,0.0,0,0.7,1.3,0.6,3.2
42,8,1.4,0.91,1.0161,0.22,0.15,0,0.0,1.9,0.6,4.2
43,7,1.0,0.91,1.0161,0.45,0.2,0,1.6,3.2,0.6,6.6
44,8,3.4,0.94,1.0161,0.25,0.39,0,0.1,1.8,0.6,3.2
45,4,4.8,0.87,1.0161,0.78,0.38,0,5.3,1.4,0.2,4.2
46,5,5.2,0.82,1.0161,0.85,0.0,2,6.1,1.7,-0.5,3.8
47,3,3.6,0.78,1.0161,0.95,0.0,0,7.3,1.0,-0.1,4.0
48,4,1.8,0.73,1.0161,0.24,0.0,0,0.0,0.3,-1.4,4.0
49,5,3.7,0.75,1.0161,0.68,0.0,0,3.5,4.0,-2.2,8.0
50,5,4.7,0.77,1.0161,0.72,0.13,0,3.9,6.0,0.9,9.3
51,5,4.2,0.83,1.0161,0.69,0.17,0,3.4,5.1,3.1,8.5
52,8,3.5,0.92,1.0161,0.26,0.42,0,0.0,5.0,2.4,6.2
53,8,2.6,0.96,1.0161,0.26,0.0,0,0.0,3.7,2.5,5.5
54,6,2.0,0.76,1.0161,0.49,0.0,0,1.3,3.6,2.0,6.5
55,6,4.0,0.88,1.0161,0.49,0.54,0,1.2,5.4,2.3,7.2
56,6,2.0,0.93,1.0161,0.27,0.61,0,0.0,7.1,5.8,8.4
57,4,4.7,0.86,1.0161,0.49,0.02,0,1.1,9.0,7.0,13.4
58,4,2.9,0.86,1.0161,0.55,0.0,0,1.5,11.0,5.0,16.9
59,7,3.5,0.81,1.0161,0.35,0.16,0,0.2,12.0,7.2,17.3
60,6,4.3,0.88,1.0161,0.82,0.1,0,3.2,9.6,8.2,12.9
61,8,3.8,0.91,1.0161,0.32,0.29,0,0.0,8.6,7.9,10.2
62,7,5.0,0.86,1.0161,0.82,0.06,0,3.0,8.8,7.4,11.3
63,8,5.9,0.92,1.0161,0.33,0.04,0,0.0,6.8,5.8,8.4
64,5,3.0,0.89,1.0161,0.38,0.0,0,0.1,5.1,4.0,7.2
65,0,4.1,0.71,1.0161,1.47,0.0,0,9.2,4.0,1.6,10.0
66,0,5.0,0.71,1.0161,1.48,0.0,0,9.1,1.2,-1.2,6.2
67,2,3.7,0.72,1.0161,1.32,0.0,0,7.2,0.4,-1.8,4.2
68,5,3.5,0.67,1.0161,1.05,0.02,0,4.4,5.4,-0.9,8.5
69,5,3.5,0.82,1.0161,0.83,0.07,0,2.5,6.3,3.2,10.2
70,4,1.8,0.79,1.0161,1.0,0.0,0,3.8,7.5,0.5,12.6
71,3,2.1,0.79,1.0161,1.28,0.0,0,6.2,9.3,4.4,14.5
72,2,2.9,0.72,1.0161,1.6,0.0,0,9.2,11.2,3.3,16.5
73,3,2.5,0.8,1.0161,1.5,0.0,0,8.0,11.4,6.4,17.5
74,1,2.6,0.8,1.0161,1.55,0.0,0,8.3,11.2,3.9,17.8
75,5,5.4,0.87,1.0161,1.33,0.0,0,6.1,5.5,4.0,10.6
76,8,3.5,0.89,1.0161,0.41,0.0,0,0.0,3.8,2.0,5.0
77,8,2.2,0.9,1.0161,0.41,0.0,0,0.0,3.6,3.2,4.1
78,5,2.9,0.82,1.0161,1.22,0.0,0,4.8,5.2,1.8,8.5
79,5,4.1,0.84,1.0161,0.83,0.0,0,1.8,3.6,2.4,6.8
80,5,2.3,0.83,1.0161,0.79,0.0,0,1.5,4.8,2.3,7.8
81,8,2.1,0.82,1.0161,0.43,0.0,0,0.0,5.6,2.2,8.4
82,0,2.3,0.68,1.0161,1.86,0.0,0,10.0,9.0,-0.8,16.8
83,3,3.7,0.68,1.0161,1.85,0.0,0,9.7,10.5,5.2,16.8
84,5,2.3,0.88,1.0161,0.45,0.09,0,0.0,8.8,7.6,11.0
85,7,1.0,0.91,1.0161,0.74,0.77,0,1.0,8.1,1.8,12.6
86,7,2.1,0.9,1.0161,0.82,0.16,0,1.4,10.7,6.8,15.0
87,8,4.2,0.91,1.0161,0.66,0.0,0,0.6,8.8,7.6,10.7
88,8,2.8,0.88,1.0161,0.69,0.0,0,0.7,9.5,6.1,13.5
89,8,1.8,0.89,1.0161,0.6,0.28,0,0.3,9.6,8.0,11.8
90,8,1.3,0.96,1.0161,0.48,0.15,0,0.0,8.6,7.7,10.0
91,8,1.5,0.91,1.0161,0.49,0.0,0,0.0,7.9,6.5,9.5
92,3,1.5,0.81,1.0161,1.72,0.0,0,7.3,11.8,6.8,16.5
93,2,3.9,0.7,1.0161,2.01,0.0,0,9.6,13.7,7.6,19.5
94,4,2.2,0.85,1.0161,1.1,0.0,0,2.6,9.8,7.2,15.7
95,0,2.0,0.72,1.0161,1.95,0.0,0,8.8,12.6,5.0,18.4
96,4,3.1,0.66,1.0161,2.05,0.0,0,9.5,15.5,8.2,21.5
97,4,3.0,0.77,1.0161,1.76,1.44,0,7.0,15.6,10.4,23.6
98,6,3.0,0.86,1.0161,1.07,0.22,0,2.2,13.8,12.4,16.2
99,5,2.1,0.84,1.0161,1.77,0.35,0,6.9,13.0,9.8,18.5
100,5,4.8,0.83,1.0161,1.46,0.63,0,4.5,10.6,7.4,18.2
101,7,5.0,0.91,1.0161,0.81,0.22,0,0.8,7.9,6.8,12.2
102,3,4.2,0.81,1.0161,1.72,0.0,0,6.2,10.0,5.2,14.8
103,8,5.4,0.87,1.0161,0.94,0.11,0,1.3,13.4,8.3,17.6
104,3,5.3,0.86,1.0161,1.92,0.02,0,7.5,8.7,7.0,13.8
105,2,4.5,0.81,1.0161,1.64,0.04,0,5.4,8.8,5.5,13.5
106,3,3.3,0.89,1.0161,1.63,0.04,0,5.2,7.0,3.9,11.4
107,1,2.8,0.84,1.0161,1.81,0.0,0,6.4,7.9,2.0,12.2
108,8,4.3,0.91,1.0161,0.72,0.4,0,0.3,7.1,4.2,9.2
109,3,4.9,0.8,1.0161,1.79,0.03,0,6.1,14.8,7.0,20.0
110,2,2.8,0.76,1.0161,2.01,0.0,0,7.6,16.2,10.6,22.2
111,0,4.6,0.75,1.0161,2.27,0.0,0,9.5,11.2,7.6,16.4
112,6,2.7,0.84,1.0161,0.98,0.0,0,1.2,10.7,4.8,13.6
113,5,5.0,0.78,1.0161,1.97,0.0,0,7.1,9.0,7.2,13.0
114,7,5.8,0.89,1.0161,0.81,0.33,0,0.5,7.0,3.2,11.0
115,7,4.7,0.84,1.0161,1.02,0.0,0,1.3,5.9,4.0,9.4
116,4,3.8,0.85,1.0161,1.52,0.09,0,3.9,6.6,3.8,11.0
117,6,4.0,0.87,1.0161,1.36,0.26,0,2.9,6.5,2.5,9.5
118,7,3.0,0.87,1.0161,1.38,0.4,0,3.0,5.8,3.2,10.6
119,5,3.7,0.84,1.0161,1.11,0.0,0,1.6,6.6,3.6,9.8
120,2,2.1,0.83,1.0161,2.02,0.0,0,6.9,8.0,0.7,12.2
121,8,3.5,0.75,1.0161,1.11,0.06,0,1.5,6.5,4.0,9.0
122,5,2.4,0.71,1.0161,1.77,0.0,0,5.1,5.6,3.8,11.0
123,1,1.1,0.72,1.0161,2.55,0.0,0,10.6,6.9,0.0,15.0
124,0,0.9,0.6,1.0161,2.64,0.0,0,11.2,12.4,2.2,19.0
125,1,1.3,0.55,1.0161,2.69,0.0,0,11.5,14.4,4.4,21.5
126,0,1.6,0.53,1.0161,2.74,0.0,0,11.8,16.2,5.0,23.0
127,1,1.9,0.53,1.0161,2.61,0.0,0,10.7,17.6,7.0,23.9
128,1,1.6,0.55,1.0161,2.71,0.0,0,11.4,17.7,8.2,24.0
129,4,2.7,0.56,1.0161,2.36,0.0,0,8.7,17.4,12.0,23.0
130,2,3.2,0.6,1.0161,2.56,0.0,0,10.1,17.5,10.6,22.5
131,3,2.8,0.58,1.0161,2.59,0.0,0,10.3,18.8,10.0,23.5
132,4,3.5,0.67,1.0161,2.51,0.38,0,9.6,18.4,10.0,25.8
133,5,2.8,0.74,1.0161,1.9,0.68,0,5.4,18.5,13.3,26.6
134,8,1.6,0.79,1.0161,1.6,0.0,0,3.6,15.8,12.0,19.2
135,7,1.6,0.79,1.0161,1.53,0.23,0,3.2,19.2,14.5,23.6
136,5,2.5,0.8,1.0161,2.58,0.03,0,9.9,18.0,13.3,23.0
137,7,1.6,0.82,1.0161,0.85,0.06,0,0.3,16.5,14.2,20.0
138,7,2.7,0.79,1.0161,1.74,0.18,0,4.3,17.6,12.0,20.8
139,8,1.6,0.96,1.0161,0.71,1.29,0,0.0,13.9,13.0,18.6
140,6,1.4,0.86,1.0161,1.33,0.0,0,2.1,14.0,11.5,18.8
141,7,4.1,0.82,1.0161,1.29,0.89,0,1.9,14.4,10.0,19.0
142,8,2.5,0.89,1.0161,0.71,0.0,0,0.0,12.6,10.7,14.0
143,5,2.0,0.75,1.0161,2.28,0.0,0,7.5,15.6,7.3,20.5
144,5,3.8,0.81,1.0161,1.53,0.86,0,3.0,12.4,11.6,16.0
145,4,1.0,0.71,1.0161,2.48,0.0,0,8.8,13.3,4.4,17.5
146,5,2.3,0.69,1.0161,2.37,0.0,0,8.0,16.5,7.4,20.2
147,6,1.0,0.67,1.0161,2.24,0.08,0,7.1,17.8,8.4,21.8
148,5,4.1,0.74,1.0161,1.8,0.25,0,4.4,16.2,13.4,20.0
149,8,3.7,0.96,1.0161,0.73,0.19,0,0.0,9.8,9.3,15.6
150,5,1.8,0.82,1.0161,1.49,0.0,0,2.7,10.8,8.4,15.5
151,4,1.7,0.8,1.0161,1.78,0.0,0,4.2,13.4,5.4,17.5
152,2,3.0,0.69,1.0161,2.71,0.0,0,10.1,17.4,9.2,22.8
153,1,2.9,0.57,1.0161,3.01,0.0,0,12.4,20.1,11.7,24.8
154,0,3.0,0.49,1.0161,3.05,0.0,0,12.7,21.2,12.2,25.8
155,0,2.1,0.45,1.0161,3.06,0.0,0,12.7,20.6,11.6,27.5
156,1,2.3,0.65,1.0161,2.56,0.0,0,8.9,20.6,14.3,26.0
157,2,2.3,0.72,1.0161,3.1,0.13,0,13.0,22.1,15.2,29.2
158,4,3.6,0.69,1.0161,2.63,0.0,0,9.4,16.0,12.9,21.5
159,3,2.9,0.61,1.0161,2.82,0.33,0,10.8,18.7,9.8,25.0
160,8,3.9,0.89,1.0161,1.51,0.52,0,2.5,14.9,14.0,18.8
161,6,3.2,0.84,1.0161,1.09,0.17,0,0.8,12.6,11.8,16.0
162,7,4.2,0.85,1.0161,1.35,0.08,0,1.8,14.0,10.2,16.5
163,5,4.5,0.8,1.0161,1.15,0.0,0,1.0,18.0,14.0,22.4
164,7,2.3,0.89,1.0161,1.38,0.17,0,1.9,15.8,15.1,18.0
165,2,4.1,0.7,1.0161,2.58,0.0,0,8.9,13.6,10.3,19.4
166,1,2.4,0.74,1.0161,2.76,0.0,0,10.2,14.8,9.5,21.0
167,3,2.6,0.69,1.0161,1.84,0.0,0,4.2,17.9,9.0,23.0
168,5,3.0,0.8,1.0161,1.75,0.0,0,3.7,20.2,15.0,24.5
169,3,0.7,0.69,1.0161,3.08,0.0,0,12.7,22.3,13.0,28.2
170,4,3.2,0.73,1.0161,2.05,0.0,0,5.4,18.6,16.1,22.2
171,8,3.1,0.76,1.0161,0.75,0.0,0,0.0,14.4,10.6,18.5
172,8,1.9,0.87,1.0161,0.75,0.0,0,0.0,15.4,12.6,17.2
173,3,1.5,0.77,1.0161,1.91,0.0,0,4.6,18.6,14.4,23.5
174,1,1.6,0.59,1.0161,3.07,0.0,0,12.6,23.9,11.7,30.9
175,5,1.9,0.74,1.0161,2.22,0.57,0,6.5,21.9,16.9,29.2
176,4,1.6,0.7,1.0161,2.52,0.0,0,8.5,23.4,17.2,29.5
177,2,4.1,0.53,1.0161,3.03,0.0,0,12.3,24.1,16.0,28.0
178,6,4.1,0.79,1.0161,1.35,0.0,0,1.8,15.7,14.3,24.0
179,5,4.5,0.68,1.0161,2.48,0.05,0,8.3,13.8,12.2,19.0
180,8,5.5,0.82,1.0161,1.0,0.38,0,0.5,12.0,9.5,15.2
181,6,3.4,0.79,1.0161,2.04,0.09,0,5.4,11.7,9.7,16.5
182,6,4.1,0.73,1.0161,1.62,0.0,0,3.1,12.6,6.7,15.8
183,4,4.3,0.71,1.0161,2.46,0.0,0,8.2,14.4,5.8,19.6
184,8,3.8,0.7,1.0161,1.35,0.0,0,1.8,13.9,10.6,16.4
185,7,3.1,0.78,1.0161,1.73,0.42,0,3.7,16.2,8.8,21.5
186,8,3.4,0.92,1.0161,0.73,1.09,0,0.0,15.6,13.8,17.0
187,6,6.5,0.75,1.0161,2.15,0.29,0,6.2,16.1,14.2,20.7
188,5,5.7,0.72,1.0161,2.34,0.0,0,7.5,17.0,12.4,22.0
189,8,3.0,0.88,1.0161,1.29,2.8,0,1.6,13.8,12.5,16.8
190,8,4.8,0.89,1.0161,1.1,1.16,0,0.9,15.1,11.8,18.5
191,8,5.0,0.93,1.0161,0.98,1.68,0,0.5,14.5,12.6,17.5
192,4,5.5,0.77,1.0161,2.54,0.08,0,9.0,16.8,14.1,22.2
193,6,5.1,0.85,1.0161,1.63,0.08,0,3.3,14.5,14.0,21.0
194,4,3.8,0.7,1.0161,2.4,0.0,0,8.1,18.4,10.4,22.4
195,7,4.6,0.71,1.0161,2.5,0.23,0,8.8,18.8,15.5,24.5
196,7,3.0,0.9,1.0161,1.82,1.43,0,4.4,14.2,11.9,21.0
197,4,2.8,0.76,1.0161,2.79,0.0,0,11.1,15.0,10.5,22.0
198,7,5.2,0.75,1.0161,1.31,0.18,0,1.8,17.5,11.9,22.5
199,6,5.3,0.78,1.0161,2.35,0.1,0,7.9,17.8,13.9,22.0
200,5,4.2,0.76,1.0161,1.88,0.02,0,4.9,17.4,14.8,22.6
201,6,3.4,0.79,1.0161,1.96,0.0,0,5.4,17.6,11.6,22.6
202,6,2.1,0.79,1.0161,1.84,0.56,0,4.7,15.7,13.2,21.4
203,6,4.3,0.78,1.0161,2.09,0.47,0,6.3,14.1,11.1,19.1
204,5,2.1,0.8,1.0161,1.86,0.2,0,4.9,13.0,9.5,18.0
205,7,1.8,0.77,1.0161,2.53,0.0,0,9.5,15.7,8.0,22.8
206,7,3.4,0.86,1.0161,1.2,0.15,0,1.5,17.6,13.8,20.8
207,8,2.9,0.77,1.0161,1.55,0.05,0,3.2,17.0,13.9,21.2
208,4,1.7,0.81,1.0161,1.6,0.0,0,3.5,16.4,12.6,20.5
209,6,3.4,0.89,1.0161,1.09,0.35,0,1.1,15.7,10.0,19.3
210,5,2.9,0.81,1.0161,2.17,0.0,0,7.2,21.6,14.8,26.4
211,7,2.7,0.87,1.0161,1.31,0.63,0,2.1,20.0,16.5,24.0
212,8,2.2,0.94,1.0161,0.67,1.59,0,0.0,15.5,14.8,20.1
213,6,2.5,0.8,1.0161,1.21,0.11,0,1.7,15.4,13.8,20.3
214,8,1.4,0.9,1.0161,0.86,0.39,0,0.4,15.2,12.6,18.5
215,5,1.7,0.75,1.0161,2.36,0.0,0,8.9,16.5,11.9,21.2
216,1,2.7,0.74,1.0161,2.58,0.0,0,10.7,18.1,10.9,23.8
217,1,1.9,0.74,1.0161,2.42,0.0,0,9.5,17.9,11.9,22.5
218,7,2.6,0.88,1.0161,1.29,0.21,0,2.2,16.6,13.6,20.7
219,3,1.4,0.76,1.0161,2.23,0.0,0,8.2,17.4,12.2,22.4
220,2,2.0,0.67,1.0161,2.3,0.02,0,8.8,19.2,11.4,24.0
221,7,2.8,0.81,1.0161,1.69,0.14,0,4.6,16.7,14.0,22.5
222,8,3.5,0.8,1.0161,0.82,0.27,0,0.4,15.8,11.9,19.5
223,8,1.9,0.93,1.0161,0.62,1.04,0,0.0,16.2,15.3,17.3
224,8,3.4,0.96,1.0161,0.96,0.91,0,0.9,14.5,13.2,19.0
225,5,3.1,0.76,1.0161,1.96,0.0,0,6.7,13.8,10.2,18.5
226,4,3.5,0.65,1.0161,1.55,0.76,0,4.0,16.2,12.1,21.6
227,6,4.8,0.91,1.0161,1.51,0.75,0,3.8,14.6,12.2,17.9
228,2,3.2,0.79,1.0161,1.55,0.0,0,4.1,15.6,10.2,20.7
229,6,1.7,0.71,1.0161,1.76,0.34,0,5.6,16.7,8.8,20.2
230,7,1.8,0.91,1.0161,0.66,0.45,0,0.1,15.2,14.2,17.5
231,3,5.1,0.69,1.0161,2.31,0.0,0,10.0,14.8,12.6,19.4
232,7,3.6,0.95,1.0161,0.77,0.66,0,0.4,13.8,9.4,18.0
233,6,2.7,0.9,1.0161,0.88,0.08,0,0.8,17.1,12.1,19.6
234,4,4.3,0.71,1.0161,2.1,0.03,0,8.6,21.8,15.2,27.3
235,6,3.0,0.77,1.0161,1.73,0.07,0,5.8,20.0,16.5,23.8
236,5,2.4,0.76,1.0161,1.83,0.06,0,6.7,21.2,15.6,25.8
237,5,2.9,0.83,1.0161,1.82,0.92,0,6.7,21.0,18.5,26.0
238,5,2.8,0.82,1.0161,1.8,1.12,0,6.6,20.3,17.8,24.6
239,5,1.4,0.85,1.0161,1.18,0.17,0,2.5,19.8,15.0,23.1
240,5,1.9,0.92,1.0161,0.99,1.34,0,1.5,17.0,15.6,20.9
241,7,3.7,0.84,1.0161,1.18,0.48,0,2.6,16.5,13.8,20.5
242,8,5.7,0.89,1.0161,0.53,0.6,0,0.0,14.4,14.0,16.1
243,8,4.0,0.94,1.0161,0.67,0.3,0,0.3,13.8,12.6,16.4
244,8,3.2,0.96,1.0161,0.51,2.75,0,0.0,13.8,12.9,16.3
245,7,1.9,0.9,1.0161,1.18,0.14,0,3.1,15.2,12.0,17.5
246,8,4.5,0.8,1.0161,0.63,0.32,0,0.3,17.5,15.2,19.8
247,4,3.8,0.83,1.0161,0.92,0.12,0,1.6,14.9,13.4,18.2
248,4,2.7,0.79,1.0161,1.44,0.08,0,5.2,14.0,10.4,17.5
249,4,2.3,0.89,1.0161,1.39,0.77,0,4.9,11.2,7.7,16.0
250,8,1.5,0.9,1.0161,0.48,0.0,0,0.0,11.7,7.4,14.0
251,1,0.8,0.8,1.0161,1.3,0.0,0,4.4,14.3,10.0,18.5
252,1,2.1,0.8,1.0161,1.87,0.0,0,9.6,14.9,9.3,21.0
253,2,1.8,0.78,1.0161,1.55,0.0,0,6.7,17.1,11.9,22.0
254,0,2.1,0.72,1.0161,1.94,0.0,0,10.7,16.6,11.6,23.5
255,0,3.2,0.7,1.0161,1.94,0.0,0,10.8,18.2,10.0,24.5
256,3,1.1,0.77,1.0161,1.71,0.0,0,8.7,17.9,10.2,24.2
257,8,1.6,0.91,1.0161,0.59,0.0,0,0.4,15.8,14.5,19.0
258,2,4.2,0.8,1.0161,1.07,0.12,0,3.3,17.4,14.0,20.7
259,7,3.4,0.72,1.0161,0.91,0.0,0,2.2,19.1,15.7,23.1
260,3,2.7,0.73,1.0161,1.32,0.0,0,5.5,14.4,11.6,19.0
261,3,2.2,0.77,1.0161,1.57,0.0,0,8.1,15.8,9.4,21.0
262,8,1.9,0.86,1.0161,0.6,1.38,0,0.6,15.2,13.0,19.0
263,8,5.0,0.92,1.0161,0.41,3.37,0,0.0,12.1,11.0,14.8
264,8,7.4,0.98,1.0161,0.4,0.24,0,0.0,11.0,10.4,12.0
265,4,3.4,0.83,1.0161,1.16,0.0,0,4.7,12.5,10.5,17.5
266,5,2.1,0.81,1.0161,0.44,0.0,0,0.1,13.6,8.6,16.5
267,5,1.2,0.84,1.0161,1.09,0.0,0,4.3,13.7,9.7,18.0
268,3,1.3,0.88,1.0161,1.1,0.0,0,4.5,12.4,8.0,17.2
269,6,1.9,0.77,1.0161,1.33,0.0,0,6.9,11.3,8.0,16.2
270,4,1.3,0.78,1.0161,0.89,0.0,0,2.9,9.2,4.4,14.0
271,4,2.9,0.82,1.0161,1.2,0.0,0,5.8,9.1,3.0,14.2
272,4,2.0,0.74,1.0161,1.27,0.0,0,6.7,10.0,3.2,15.5
273,6,2.6,0.71,1.0161,0.97,0.55,0,3.9,11.8,5.8,15.4
274,7,3.2,0.82,1.0161,0.76,0.03,0,2.2,13.3,8.9,16.8
275,3,5.1,0.7,1.0161,1.45,0.1,0,9.4,16.0,10.4,20.8
276,8,4.9,0.8,1.0161,0.54,0.2,0,0.8,16.8,13.6,19.8
277,8,4.2,0.78,1.0161,0.43,0.1,0,0.3,16.0,13.7,17.5
278,4,4.0,0.77,1.0161,1.13,0.02,0,6.2,15.4,11.4,19.8
279,7,2.2,0.84,1.0161,0.72,0.0,0,2.3,15.7,13.2,19.5
280,8,0.9,0.91,1.0161,0.32,0.06,0,0.0,13.2,9.2,16.0
281,6,2.8,0.82,1.0161,0.5,0.56,0,0.8,13.4,10.6,16.0
282,7,5.0,0.85,1.0161,0.75,0.91,0,2.8,11.9,10.7,13.8
283,8,6.0,0.94,1.0161,0.35,0.34,0,0.1,10.4,10.0,12.4
284,8,6.3,0.94,1.0161,0.5,2.82,0,0.9,9.3,8.0,13.0
285,8,9.0,0.96,1.0161,0.34,1.43,0,0.1,8.1,6.4,10.0
286,7,6.3,0.93,1.0161,0.33,0.18,0,0.1,8.2,7.1,10.8
287,1,2.8,0.83,1.0161,1.16,0.0,0,8.2,6.4,3.8,12.0
288,5,2.5,0.83,1.0161,0.89,0.0,0,4.9,6.7,0.9,11.2
289,8,4.5,0.88,1.0161,0.43,0.0,0,0.7,8.2,5.5,10.5
290,7,3.3,0.82,1.0161,0.67,0.0,0,2.8,8.2,6.2,11.5
291,7,2.9,0.91,1.0161,0.27,1.2,0,0.0,8.6,4.7,9.7
292,7,3.6,0.78,1.0161,0.41,0.0,0,0.7,10.2,7.2,12.5
293,8,3.5,0.74,1.0161,0.26,0.78,0,0.0,11.8,7.5,14.0
294,7,3.7,0.88,1.0161,0.49,0.42,0,1.4,10.6,9.0,14.5
295,8,6.1,0.86,1.0161,0.25,0.43,0,0.0,10.6,9.0,12.0
296,7,4.0,0.87,1.0161,0.34,0.05,0,0.4,13.4,10.7,17.0
297,5,3.7,0.9,1.0161,0.46,0.16,0,1.3,12.4,9.8,15.4
298,3,3.0,0.84,1.0161,0.73,0.0,0,4.4,13.3,10.5,16.4
299,8,2.7,0.96,1.0161,0.23,1.13,0,0.0,10.6,9.2,13.0
300,4,3.4,0.8,1.0161,0.52,0.0,0,2.1,10.3,7.3,14.5
301,7,3.4,0.79,1.0161,0.49,0.0,0,1.9,11.2,7.5,14.8
302,7,2.8,0.84,1.0161,0.34,0.5,0,0.6,11.5,9.4,14.5
303,7,5.6,0.9,1.0161,0.22,1.13,0,0.0,10.0,9.0,10.5
304,8,3.7,0.93,1.0161,0.27,0.23,0,0.2,9.6,7.4,12.8
305,7,6.6,0.9,1.0161,0.21,1.58,0,0.0,12.8,8.0,14.6
306,5,8.2,0.64,1.0161,0.64,0.0,0,4.2,11.3,9.8,15.2
307,7,7.8,0.74,1.0161,0.46,1.02,0,2.0,11.6,8.2,13.3
308,8,6.3,0.77,1.0161,0.2,0.02,0,0.0,12.6,9.0,14.0
309,6,4.9,0.87,1.0161,0.39,0.11,0,1.4,8.3,5.6,12.9
310,7,2.4,0.88,1.0161,0.32,0.55,0,0.8,7.3,6.0,10.0
311,4,2.1,0.84,1.0161,0.45,0.0,0,2.3,5.7,2.2,8.2
312,5,0.8,0.88,1.0161,0.23,0.04,0,0.2,1.0,-0.4,6.0
313,2,3.3,0.85,1.0161,0.27,0.0,0,0.5,1.6,-1.5,3.5
314,6,6.3,0.86,1.0161,0.32,0.43,0,1.0,4.8,0.4,6.5
315,5,5.1,0.77,1.0161,0.59,0.0,0,4.7,8.7,6.0,12.3
316,3,3.6,0.78,1.0161,0.63,0.0,0,5.5,9.6,7.1,13.0
